中華臺湾,#genre#
幸福空间居家台,http://220.134.74.149:7878/udp/230.1.2.141:11111
采昌综合,http://220.134.74.149:7878/udp/224.1.4.59:11111
采昌影剧,http://220.134.74.149:7878/udp/224.1.4.221:11111
采昌影剧,http://220.134.74.149:7878/udp/230.1.2.71:11111
非凡新闻台,http://220.134.74.149:7878/udp/224.1.4.158:11111
非凡新闻台,http://220.134.74.149:7878/udp/230.1.2.92:11111
信吉电视台,http://220.134.74.149:7878/udp/230.1.2.247:11111
信吉电视台,http://220.134.74.149:7878/udp/230.1.2.93:11111
信吉艺文台,http://220.134.74.149:7878/udp/230.1.2.182:11111
信吉艺文台,http://220.134.74.149:7878/udp/230.1.2.28:11111
冠军电视台,http://220.134.74.149:7878/udp/224.1.4.224:11111
冠军电视台,http://220.134.74.149:7878/udp/230.1.2.74:11111
客家电视台,http://220.134.74.149:7878/udp/224.1.4.17:11111
客家电视台,http://220.134.74.149:7878/udp/224.1.4.201:11111
星卫HD电影(下架),http://220.134.74.149:7878/udp/224.1.4.18:11111
星卫HD电影(下架),http://220.134.74.149:7878/udp/230.1.2.153:11111
星卫娱乐(下架),http://220.134.74.149:7878/udp/230.1.2.218:11111
星卫娱乐(下架),http://220.134.74.149:7878/udp/230.1.2.38:11111
美亚高清电影台,http://220.134.74.149:7878/udp/224.1.4.91:11111
美亚高清电影台,http://220.134.74.149:7878/udp/230.1.2.143:11111
美好1台,http://220.134.74.149:7878/udp/224.1.4.167:11111
美好1台,http://220.134.74.149:7878/udp/224.1.4.67:11111
美好2台,http://220.134.74.149:7878/udp/224.1.4.145:11111
美食星球,http://220.134.74.149:7878/udp/224.1.4.19:11111
美食星球,http://220.134.74.149:7878/udp/230.1.2.178:11111
视纳华仁纪实台,http://220.134.74.149:7878/udp/224.1.4.206:11111
视纳华仁纪实台,http://220.134.74.149:7878/udp/230.1.2.96:11111
原住民族,http://220.134.74.149:7878/udp/224.1.4.76:11111
原住民族,http://220.134.74.149:7878/udp/230.1.2.235:11111
爱尔达亚运1台,http://220.134.74.149:7878/udp/224.1.4.129:11111
爱尔达亚运1台,http://220.134.74.149:7878/udp/224.1.4.94:11111
爱尔达亚运2台,http://220.134.74.149:7878/udp/230.1.2.170:11111
爱尔达亚运2台,http://220.134.74.149:7878/udp/230.1.2.7:11111
爱尔达亚运3台,http://220.134.74.149:7878/udp/230.1.2.234:11111
爱尔达亚运3台,http://220.134.74.149:7878/udp/230.1.2.87:11111
爱尔达体育1,http://220.134.74.149:7878/udp/224.1.4.112:11111
爱尔达体育1,http://220.134.74.149:7878/udp/230.1.2.131:11111
爱尔达体育2,http://220.134.74.149:7878/udp/230.1.2.237:11111
爱尔达体育2,http://220.134.74.149:7878/udp/230.1.2.88:11111
爱尔达体育3,http://220.134.74.149:7878/udp/224.1.4.193:11111
爱尔达体育3,http://220.134.74.149:7878/udp/230.1.2.91:11111
爱尔达体育4台,http://220.134.74.149:7878/udp/224.1.4.7:11111
爱尔达体育4台,http://220.134.74.149:7878/udp/230.1.2.146:11111
爱尔达综合,http://220.134.74.149:7878/udp/224.1.4.114:11111
爱尔达综合,http://220.134.74.149:7878/udp/230.1.2.133:11111
爱尔达影剧,http://220.134.74.149:7878/udp/224.1.4.113:11111
爱尔达影剧,http://220.134.74.149:7878/udp/230.1.2.132:11111
唯心电视,http://220.134.74.149:7878/udp/224.1.4.200:11111
唯心电视,http://220.134.74.149:7878/udp/230.1.2.80:11111
曼迪日本,http://220.134.74.149:7878/udp/230.1.2.242:11111
曼迪日本,http://220.134.74.149:7878/udp/230.1.2.89:11111
梅迪奇艺术,http://220.134.74.149:7878/udp/224.1.4.26:11111
梅迪奇艺术,http://220.134.74.149:7878/udp/230.1.2.180:11111
博斯无限二台,http://220.134.74.149:7878/udp/224.1.4.207:11111
博斯无限二台,http://220.134.74.149:7878/udp/230.1.2.97:11111
博斯无限台,http://220.134.74.149:7878/udp/224.1.4.46:11111
博斯无限台,http://220.134.74.149:7878/udp/230.1.2.215:11111
博斯网球台,http://220.134.74.149:7878/udp/224.1.4.66:11111
博斯网球台,http://220.134.74.149:7878/udp/230.1.2.198:11111
博斯运动一台,http://220.134.74.149:7878/udp/224.1.4.48:11111
博斯运动一台,http://220.134.74.149:7878/udp/230.1.2.158:11111
博斯运动二台,http://220.134.74.149:7878/udp/224.1.4.5:11111
博斯运动二台,http://220.134.74.149:7878/udp/230.1.2.196:11111
博斯高球1台,http://220.134.74.149:7878/udp/224.1.4.49:11111
博斯高球1台,http://220.134.74.149:7878/udp/230.1.2.183:11111
博斯高球2台,http://220.134.74.149:7878/udp/224.1.4.47:11111
博斯高球2台,http://220.134.74.149:7878/udp/230.1.2.197:11111
博斯魅力网,http://220.134.74.149:7878/udp/224.1.4.110:11111
博斯魅力网,http://220.134.74.149:7878/udp/224.1.4.250:11111
壹电视电影台,http://220.134.74.149:7878/udp/230.1.2.189:11111
壹电视电影台,http://220.134.74.149:7878/udp/230.1.2.19:11111
壹电视综合台,http://220.134.74.149:7878/udp/230.1.2.220:11111
壹电视综合台,http://220.134.74.149:7878/udp/230.1.2.40:11111
