
港澳台一线,#genre#
寰宇新闻台,http://www.238311.cn:538/x1243y.php?id=global-news
寰宇新闻台,mitv://135.148.104.228:19806/a265fb55774a4554bc2db19b16f53be6 
寰宇财经台,http://www.238311.cn:538/x1243y.php?id=global-finance
寰宇新闻台湾台,http://www.238311.cn:538/x1243y.php?id=global-news-tw
寰宇新闻台湾台,mitv://135.148.104.228:19806/ca27b65855704124be186aa0e5127c24 
壹新闻 HD,http://www.238311.cn:538/x1243y.php?id=nexttv
三立新闻,http://www.238311.cn:538/x1243y.php?id=settv-news
三立iNews,http://www.238311.cn:538/x1243y.php?id=settv-inews
中视新闻,http://www.238311.cn:538/x1243y.php?id=ctv-news
非凡新闻,http://www.238311.cn:538/x1243y.php?id=unique-business-news
年代新闻,http://www.238311.cn:538/x1243y.php?id=era-news
年代新闻,mitv://135.148.104.228:19806/95f67e884d88463e907c301d05fa68b7 
民视新闻台,http://www.238311.cn:538/x1243y.php?id=ftv-news
民视新闻台,mitv://135.148.104.228:19806/d24f18e610d248b7a450d29492b37ebf 
台视新闻,http://www.238311.cn:538/x1243y.php?id=ttv-news
镜电视新闻台,http://www.238311.cn:538/x1243y.php?id=mnews
华视新闻,http://www.238311.cn:538/x1243y.php?id=cts-news
华视新闻,mitv://135.148.104.228:19806/ebe8db2daafa47768f37bcae17bfe299 
半岛国际新闻台,http://www.238311.cn:538/x1243y.php?id=aljazeera
SBN 全球财经台,http://www.238311.cn:538/x1243y.php?id=sbn
靖天资讯台,http://www.238311.cn:538/x1243y.php?id=jtzx
靖天资讯台,mitv://135.148.104.228:19806/5c9d432112fd4d4e92263a34415293fa 
纬来电影台,http://www.238311.cn:538/x1243y.php?id=videoland-movie
纬来电影台,mitv://generationnexxxt.com:19806/429796f5f00946fa933e400729286c7e 
纬来电影台,mitv://135.148.104.228:19806/429796f5f00946fa933e400729286c7e 
纬来戏剧,http://www.238311.cn:538/x1243y.php?id=videoland-drama
TVBS综艺台,http://www.238311.cn:538/x1243y.php?id=tvbs-zongyi
TVBS台剧台,http://www.238311.cn:538/x1243y.php?id=tvbs-taiju
龙祥电影台,http://www.238311.cn:538/x1243y.php?id=lstime
龙华电影台,http://www.238311.cn:538/x1243y.php?id=ltv-movies
龙华戏剧台,http://www.238311.cn:538/x1243y.php?id=ltv-xiju
龙华日韩台,http://www.238311.cn:538/x1243y.php?id=ltv-rihan
东森电影,http://www.238311.cn:538/x1243y.php?id=ebc-movie
东森戏剧,http://www.238311.cn:538/x1243y.php?id=ebc-drama
东森洋片,http://www.238311.cn:538/x1243y.php?id=ebc-emovie
八大精彩台,http://www.238311.cn:538/x1243y.php?id=gtv-jct
八大戏剧,http://www.238311.cn:538/x1243y.php?id=gtv-41
八大娱乐,http://www.238311.cn:538/x1243y.php?id=gtv-86
八大综艺,http://www.238311.cn:538/x1243y.php?id=grt
采昌影剧台,http://www.238311.cn:538/x1243y.php?id=caichang
采昌影剧台,mitv://generationnexxxt.com:19806/a0d691053f9b4876ab2b509a62296911 
采昌影剧台,mitv://135.148.104.228:19806/a0d691053f9b4876ab2b509a62296911 
美亚电影台,http://www.238311.cn:538/x1243y.php?id=meiah-movies
猪哥亮歌厅秀,http://www.238311.cn:538/x1243y.php?id=zglgtx
民视综艺,http://www.238311.cn:538/x1243y.php?id=ftv-reality
民视影剧,http://www.238311.cn:538/x1243y.php?id=ftv-drama
三立都会台,http://www.238311.cn:538/x1243y.php?id=settv-city
三立都会台,mitv://135.148.104.228:19806/7a36f98eee8e48a48ea64a1359083c8a 
三立戏剧台,http://www.238311.cn:538/x1243y.php?id=settv-drama
三立戏剧台,mitv://generationnexxxt.com:19806/7a5b874b630d457bb5997a2fe4690550 
三立戏剧台,mitv://135.148.104.228:19806/7a5b874b630d457bb5997a2fe4690550 
中视经典台,http://www.238311.cn:538/x1243y.php?id=ctv-classic
中视经典台,mitv://135.148.104.228:19806/8b9e15ff15474ccbbc2780c1484e50c9 
中天娱乐,http://www.238311.cn:538/x1243y.php?id=cti-yule
靖洋戏剧台,http://www.238311.cn:538/x1243y.php?id=jyxj
靖洋戏剧台,mitv://generationnexxxt.com:19806/84a559f1b4884854be933d5d4fc0d4a6 
靖洋戏剧台,mitv://135.148.104.228:19806/84a559f1b4884854be933d5d4fc0d4a6 
靖天映画,http://www.238311.cn:538/x1243y.php?id=jtyh
靖天映画,mitv://generationnexxxt.com:19806/b723859f3ed94e5ba712148b209eefd0 
靖天映画,mitv://135.148.104.228:19806/b723859f3ed94e5ba712148b209eefd0 
靖天电影台,http://www.238311.cn:538/x1243y.php?id=jtdy
靖天电影台,mitv://generationnexxxt.com:19806/d8c581e0e1a24823a3d2110e3584ef8b 
靖天电影台,mitv://135.148.104.228:19806/d8c581e0e1a24823a3d2110e3584ef8b


靖天戏剧台,http://www.238311.cn:538/x1243y.php?id=jtxjt
靖天戏剧台,mitv://generationnexxxt.com:19806/1282202787324223b35e3c84d9e673c6 
靖天戏剧台,mitv://135.148.104.228:19806/1282202787324223b35e3c84d9e673c6 
韩国娱乐台 KMTV,http://www.238311.cn:538/x1243y.php?id=kmtv
公视戏剧,http://www.238311.cn:538/x1243y.php?id=gsxj
