远程公告,#genre#
电视剧频道,http://jxtv3.gdsz.eu.org:8081/hls/69/index.m3u8
体育健康,http://jxtv3.gdsz.eu.org:8081/hls/70/index.m3u8
宁夏卫视,http://jxtv3.gdsz.eu.org:8081/hls/71/index.m3u8
山东文化,http://jxtv3.gdsz.eu.org:8081/hls/72/index.m3u8
宁夏卫视,http://jxtv3.gdsz.eu.org:8081/hls/73/index.m3u8
山东卫视,http://jxtv3.gdsz.eu.org:8081/hls/75/index.m3u8
重庆卫视,http://jxtv3.gdsz.eu.org:8081/hls/76/index.m3u8
新疆卫视,http://jxtv3.gdsz.eu.org:8081/hls/82/index.m3u8
CCTV风云音乐,http://jxtv3.gdsz.eu.org:8081/hls/88/index.m3u8
河南卫视,http://jxtv3.gdsz.eu.org:8081/hls/96/index.m3u8
新疆卫视,http://jxtv3.gdsz.eu.org:8081/hls/104/index.m3u8
现代教育,http://jxtv3.gdsz.eu.org:8081/hls/109/index.m3u8
CCTV风云音乐,http://jxtv3.gdsz.eu.org:8081/hls/117/index.m3u8
优漫卡通,http://jxtv3.gdsz.eu.org:8081/hls/128/index.m3u8
TVB星河,http://jxtv3.gdsz.eu.org:8081/hls/135/index.m3u8
TVB星河,http://jxtv3.gdsz.eu.org:8081/hls/136/index.m3u8
CCTV1,http://jxtv3.gdsz.eu.org:8081/hls/137/index.m3u8
广东卫视,http://jxtv3.gdsz.eu.org:8081/hls/140/index.m3u8
电视剧频道,http://jxtv3.gdsz.eu.org:8081/hls/141/index.m3u8
体育健康,http://jxtv3.gdsz.eu.org:8081/hls/142/index.m3u8
CCTV4K,http://jxtv3.gdsz.eu.org:8081/hls/144/index.m3u8
CCTV4K,http://jxtv3.gdsz.eu.org:8081/hls/145/index.m3u8
华数3,http://jxtv3.gdsz.eu.org:8081/hls/154/index.m3u8
潮州酒店,#genre#    
                                                                                                                                                                                                                                                                                                                               
潮州综合,http://www.zzlag.top:9087/tsfile/live/1066_1.m3u8?key=txiptv
潮州公共,http://www.zzlag.top:9087/tsfile/live/1009_1.m3u8?key=txiptv
汕头新闻综合,http://www.zzlag.top:9087/tsfile/live/1002_1.m3u8?key=txiptv
汕头经济生活,http://www.zzlag.top:9087/tsfile/live/1003_1.m3u8?key=txiptv
汕头文旅体育,http://www.zzlag.top:9087/tsfile/live/1004_1.m3u8?key=txiptv
岭南戏曲,http://www.zzlag.top:9087/tsfile/live/1005_1.m3u8?key=txiptv
揭阳公共,http://www.zzlag.top:9087/tsfile/live/1006_1.m3u8?key=txiptv
揭阳综合,http://www.zzlag.top:9087/tsfile/live/1007_1.m3u8?key=txiptv
潮安,http://www.zzlag.top:9087/tsfile/live/1008_1.m3u8?key=txiptv
饶平,http://www.zzlag.top:9087/tsfile/live/1058_1.m3u8?key=txiptv
广东新闻,http://www.zzlag.top:9087/tsfile/live/1034_1.m3u8?key=txiptv
嘉佳卡通,http://www.zzlag.top:9087/tsfile/live/1035_1.m3u8?key=txiptv
广东卫视,http://www.zzlag.top:9087/tsfile/live/0125_1.m3u8?key=txiptv
广东体育,http://www.zzlag.top:9087/tsfile/live/1036_1.m3u8?key=txiptv
珠江频道,http://www.zzlag.top:9087/tsfile/live/1037_1.m3u8?key=txiptv
经济科教,http://www.zzlag.top:9087/tsfile/live/1038_1.m3u8?key=txiptv
广东少儿,http://www.zzlag.top:9087/tsfile/live/1039_1.m3u8?key=txiptv
广东影视,http://www.zzlag.top:9087/tsfile/live/1040_1.m3u8?key=txiptv
南方卫视,http://www.zzlag.top:9087/tsfile/live/1041_1.m3u8?key=txiptv
广东公共,http://www.zzlag.top:9087/tsfile/live/1042_1.m3u8?key=txiptv
深圳卫视,http://www.zzlag.top:9087/tsfile/live/0126_1.m3u8?key=txiptv
深圳都市,http://www.zzlag.top:9087/tsfile/live/1043_1.m3u8?key=txiptv
深圳电视剧,http://www.zzlag.top:9087/tsfile/live/1044_1.m3u8?key=txiptv
深圳体育,http://www.zzlag.top:9087/tsfile/live/1045_1.m3u8?key=txiptv
深圳公共,http://www.zzlag.top:9087/tsfile/live/1046_1.m3u8?key=txiptv
深圳娱乐,http://www.zzlag.top:9087/tsfile/live/1047_1.m3u8?key=txiptv
深圳少儿,http://www.zzlag.top:9087/tsfile/live/1048_1.m3u8?key=txiptv
CCTV1高清,http://www.zzlag.top:9087/tsfile/live/1010_1.m3u8?key=txiptv
CCTV2高清,http://www.zzlag.top:9087/tsfile/live/1011_1.m3u8?key=txiptv
CCTV3高清,http://www.zzlag.top:9087/tsfile/live/1012_1.m3u8?key=txiptv
CCTV4高清,http://www.zzlag.top:9087/tsfile/live/1013_1.m3u8?key=txiptv
CCTV5高清,http://www.zzlag.top:9087/tsfile/live/1014_1.m3u8?key=txiptv
CCTV6高清,http://www.zzlag.top:9087/tsfile/live/1015_1.m3u8?key=txiptv
CCTV7高清,http://www.zzlag.top:9087/tsfile/live/1016_1.m3u8?key=txiptv
CCTV8高清,http://www.zzlag.top:9087/tsfile/live/1017_1.m3u8?key=txiptv
CCTV9高清,http://www.zzlag.top:9087/tsfile/live/1018_1.m3u8?key=txiptv
CCTV10高清,http://www.zzlag.top:9087/tsfile/live/1019_1.m3u8?key=txiptv
CCTV5+,http://www.zzlag.top:9087/tsfile/live/1020_1.m3u8?key=txiptv
CCTV12高清,http://www.zzlag.top:9087/tsfile/live/1021_1.m3u8?key=txiptv
CCTV13高清,http://www.zzlag.top:9087/tsfile/live/1022_1.m3u8?key=txiptv
CCTV14高清,http://www.zzlag.top:9087/tsfile/live/1023_1.m3u8?key=txiptv
CCTV15高清,http://www.zzlag.top:9087/tsfile/live/1024_1.m3u8?key=txiptv
CCTV怀旧剧场,http://www.zzlag.top:9087/tsfile/live/1025_1.m3u8?key=txiptv
CCTV16,http://www.zzlag.top:9087/tsfile/live/1000_1.m3u8?key=txiptv
CCTV17高清,http://www.zzlag.top:9087/tsfile/live/1026_1.m3u8?key=txiptv
CCTV世界地理,http://www.zzlag.top:9087/tsfile/live/1027_1.m3u8?key=txiptv
CCTV兵器科技,http://www.zzlag.top:9087/tsfile/live/1028_1.m3u8?key=txiptv
CCTV央视文化精品,http://www.zzlag.top:9087/tsfile/live/1029_1.m3u8?key=txiptv
CCTV第一剧场,http://www.zzlag.top:9087/tsfile/live/1030_1.m3u8?key=txiptv
CCTV风云剧场,http://www.zzlag.top:9087/tsfile/live/1031_1.m3u8?key=txiptv
CCTV风云音乐,http://www.zzlag.top:9087/tsfile/live/1032_1.m3u8?key=txiptv
中国教育电视,http://www.zzlag.top:9087/tsfile/live/1033_1.m3u8?key=txiptv
三沙卫视,http://www.zzlag.top:9087/tsfile/live/1049_1.m3u8?key=txiptv
山东卫视,http://www.zzlag.top:9087/tsfile/live/0131_1.m3u8?key=txiptv
天津卫视,http://www.zzlag.top:9087/tsfile/live/0135_1.m3u8?key=txiptv
湖北卫视,http://www.zzlag.top:9087/tsfile/live/0132_1.m3u8?key=txiptv
黑龙江卫视,http://www.zzlag.top:9087/tsfile/live/0143_1.m3u8?key=txiptv
湖南卫视,http://www.zzlag.top:9087/tsfile/live/0128_1.m3u8?key=txiptv
贵州卫视,http://www.zzlag.top:9087/tsfile/live/0120_1.m3u8?key=txiptv
安徽卫视,http://www.zzlag.top:9087/tsfile/live/0130_1.m3u8?key=txiptv
重庆卫视,http://www.zzlag.top:9087/tsfile/live/0142_1.m3u8?key=txiptv
福建卫视,http://www.zzlag.top:9087/tsfile/live/1050_1.m3u8?key=txiptv
河北卫视,http://www.zzlag.top:9087/tsfile/live/0117_1.m3u8?key=txiptv
江西卫视,http://www.zzlag.top:9087/tsfile/live/0138_1.m3u8?key=txiptv
北京卫视,http://www.zzlag.top:9087/tsfile/live/0122_1.m3u8?key=txiptv
辽宁卫视,http://www.zzlag.top:9087/tsfile/live/0121_1.m3u8?key=txiptv
江苏卫视,http://www.zzlag.top:9087/tsfile/live/0127_1.m3u8?key=txiptv
浙江卫视,http://www.zzlag.top:9087/tsfile/live/0124_1.m3u8?key=txiptv
吉林卫视,http://www.zzlag.top:9087/tsfile/live/0116_1.m3u8?key=txiptv
上海卫视,http://www.zzlag.top:9087/tsfile/live/0107_1.m3u8?key=txiptv
四川卫视,http://www.zzlag.top:9087/tsfile/live/0123_1.m3u8?key=txiptv
河南卫视,http://www.zzlag.top:9087/tsfile/live/0139_1.m3u8?key=txiptv
甘肃卫视,http://www.zzlag.top:9087/tsfile/live/0141_1.m3u8?key=txiptv
广西卫视,http://www.zzlag.top:9087/tsfile/live/0113_1.m3u8?key=txiptv
云南卫视,http://www.zzlag.top:9087/tsfile/live/0119_1.m3u8?key=txiptv
陕西卫视,http://www.zzlag.top:9087/tsfile/live/0136_1.m3u8?key=txiptv
山西卫视,http://www.zzlag.top:9087/tsfile/live/0118_1.m3u8?key=txiptv                                                                                                                                                                                              内蒙古卫视,http://www.zzlag.top:9087/tsfile/live/0109_1.m3u8?key=txiptv
青海卫视,http://www.zzlag.top:9087/tsfile/live/0140_1.m3u8?key=txiptv
海南卫视,http://www.zzlag.top:9087/tsfile/live/0140_2.m3u8?key=txiptv
宁夏卫视,http://www.zzlag.top:9087/tsfile/live/0112_1.m3u8?key=txiptv
西藏卫视,http://www.zzlag.top:9087/tsfile/live/0111_1.m3u8?key=txiptv
金鹰卡通,http://www.zzlag.top:9087/tsfile/live/1052_1.m3u8?key=txiptv
金鹰纪实,http://www.zzlag.top:9087/tsfile/live/1054_1.m3u8?key=txiptv
上海纪实,http://www.zzlag.top:9087/tsfile/live/1055_1.m3u8?key=txiptv
经典电影,http://www.zzlag.top:9087/tsfile/live/1057_1.m3u8?key=txiptv
中国气象,http://www.zzlag.top:9087/tsfile/live/1056_1.m3u8?key=txiptv
CHC电影,http://www.zzlag.top:9087/tsfile/live/1051_1.m3u8?key=txiptv

广州酒店,#genre#
广东珠江,http://183.236.32.24:9901/hls/1036/index.m3u8
