央视频道,#genre#
CCTV7,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/llss/45daae6748439234y24ghe432sa12g41.flv/141?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV8,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/llss/45daae6748439234y24ghe432sa12g41.flv/106?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV9,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/llss/45daae6748439234y24ghe432sa12g41.flv/142?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV10,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/llss/45daae6748439234y24ghe432sa12g41.flv/143?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV11,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/llss/45daae6748439234y24ghe432sa12g41.flv/2?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV12,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/llss/45daae6748439234y24ghe432sa12g41.flv/144?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV13,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/llss/45daae6748439234y24ghe432sa12g41.flv/3?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV14,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/llss/45daae6748439234y24ghe432sa12g41.flv/5?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV15,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/llss/45daae6748439234y24ghe432sa12g41.flv/4?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV5+,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/mgak/45daae6748439234y24ghe432sa12g41.flv/cctv5p?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
